iso3,year,CIPSit,Gi,time_to_treat,treated,brics_member_v9,brics_member_it,brics_exp_it,sanction_fin_norm_fixed,sanction_fin_norm_it,sanction_corrected_flag,ever_sanctioned_it,sanction_any_it,sanction_fin_count_it,sanction_us_it,sanction_west_it,unga_align_norm_it,unga_align_it,unga_idealpoint_it,swap_line_it,clearing_bank_it,ln_gdp,ln_trade_openness,financial_depth_it,capital_openness_it_filled,ka_missing_dummy,gdp_growth_it,inflation_it_w,fdi_inflow_gdp_it_w,ln_gdp_per_capita,weight_final_win,weight_final,fin_centre_flag,g7_flag,dollarised_flag,core_excl_flag,D_pre_bin,D_post_bin,D_-6,D_-5,D_-4,D_-3,D_-2,D_-1,D_+0,D_+1,D_+2,D_+3,D_+4,D_+5,D_+6,D_+7,D_+8,D_+9,gdp_usd_wb,trade_pct_gdp,total_trade_usd,china_bilateral_usd,china_trade_share_it,year_c,Gi_str,trend_treat_year,ipw_weight_new,event_time,event_time_c,Evtm6,Evtm5,Evtm4,Evtm3,Evtm2,Evtp0,Evtp1,Evtp2,Evtp3,Evtp4,Evtp5,Evtp6,Evtp7,Evtp8,Evtp9,CIPS_broad_it,Gi_broad,rmb_cofer_world_share,cips_x_cofer,cips_broad_x_cofer,swift_rmb_global_pct,rmb_settlement_proxy_it,cips_x_sanction,event_time_broad,event_time_broad_c,Etm5,Etm4,Etm3,Etm2,Etp0,Etp1,Etp2,Etp3,Etp4,Etp5,Etp6,Etp7,Etp8,rmb_infra_it,cips_x_brics,post2022,cips_x_post2022,sanc_x_post2022,et_broad,et_broad_c,rmb_invoicing_share,usd_invoicing_share,swift_offshore_rmb_share_pct,in_swift_tracker_top15,rmb_inv_asinh,rmb_inv_extensive,rmb_reserve_share_it,treated_direct,treated_broad,trend_direct,trend_broad,cipsbroad_x_sanction,et_direct,et_direct_c,Edm5,Edm4,Edm3,Edm2,Edp0,Edp1,Edp2,Edp3,Edp4,Edp5,Edp6,Edp7,Edp8,stablecoin_mcap_bn,ln_stablecoin,infra_x_sanction,push_x_pull,resist_x_pushpull,CNYShare,g_first_treat,post_treat,pull_x_sanction,rmb_reserve_pct,rmb_invoicing_w,clearing_bank_lead1,swap_line_lead1,g_first_broad,clear_x_sanction
AFG,2010,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,3.762569696415618,-3.0121762,-0.6116472,0,0,23.48685597792578,,11.5750442390122,0,1,14.3624414710737,2.17853752389418,1.20311798981139,6.329045999506046,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15856668555.8336,,,715536971,,0,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.5,0,0,0.03,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.907755279,0,0,0,,,0,0,,,0,0,,0
AFG,2011,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,3.7592231788800015,-3.0094971,-0.5804971,0,0,23.60275066937642,,4.95918037606027,0,1,0.426354776777345,11.8041858089129,0.293025179616803,6.4080256601244,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17805098206.3141,,,583050063,,1,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.6,0,0,0.1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.907755279,0,0,0,,,0,0,,,0,0,,0
AFG,2012,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,3.823728363008258,-3.0611376,-0.6545566,0,0,23.71435383144207,,4.47210362973721,0,1,12.7522870926697,6.44121280934117,0.285440893554571,6.479150196564419,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19907329777.5872,,,718455232,,2,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.7,0,0,0.25,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.907755279,0,0,0,,,0,0,,,0,0,,0
AFG,2013,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,4.02364265777963,-3.2211817,-0.7101377,0,0,23.72629228116838,,4.3216854169302,0,1,5.60074465863221,7.38577178397855,0.239801184405551,6.456906379532865,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20146416757.5987,,,156529014,,3,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.8,0,0,0.63,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.907755279,0,0,0,,,0,0,,,0,0,,0
AFG,2014,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,4.067247814994956,-3.2560904,-0.7790834,0,0,23.743550642874983,,3.94105709996345,0,1,2.72454336219565,4.67399603536344,0.209664794672203,6.437839552775117,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20497128555.6972,,,1053651184,,4,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.9,0,0,1.1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.907755279,0,0,0,,,0,0,,,0,0,,0
AFG,2015,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,3.981942158822042,-3.1877978,-0.7408888,0,0,23.67474427800341,,3.98149379462535,0,1,1.45131466066431,-0.661709165,0.88400046336123,6.337833595485375,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19134221644.7325,,,1054149187,,5,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,0,2.17,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,-5.298317367,0,0,0,,,0,0,,,0,0,,0
AFG,2016,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,4.047614145992372,-3.2403724,-0.8117974,0,0,23.620092958303584,,3.88832174612488,0,1,2.26031420279821,4.38389195513914,0.516606084523093,6.257825076599218,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18116572395.0772,,,1097461680,,6,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1.08,0,0,1.67,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-4.605170186,0,0,0,,,0,0,,,0,0,,0
AFG,2017,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,4.144194984329163,-3.3176915,-0.7706865,0,0,23.6546439189766,,3.84188120492596,0,1,2.6470032027451,4.97595150553832,0.274796791572807,6.264292664193559,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18753456497.8159,,,1191009349,,7,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1.23,0,0,1.61,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,-3.912023005,0,0,0,,,0,0,,,0,0,,0
AFG,2018,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,4.325449673915753,-3.4627974,-0.7682784,0,0,23.61659004808285,3.843956016995097,3.51231703339133,0,1,1.18922812944517,0.626149149168846,0.661572217787196,6.197130697311605,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18053222687.4126,,,1194341837,,8,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1.89,0,0,2.07,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.9932517730102834,0,0,0,,,0,0,,,0,0,,0
AFG,2019,0,,-999,0,0,0,0,0.0625,0.0625,0,1,1,1,0,1,3.834165385616165,-3.0694931,-0.4969141,0,0,23.65709315800069,3.843956016995097,3.22995723026215,0,1,3.91160341625552,2.30237251516833,0.124495985291258,6.207789915869446,0.183531321953311,0.183531321953311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18799444490.1128,,,1223428419,,9,0,0,1,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1.94,0,0,1.94,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,1.7404661748405046,0,0,0,,,0,0,,,0,0,,0
