event_time,att,se,n_groups,ci_lo,ci_hi
-4,0.03125,0.04343561187028131,1.0,-0.053883799265751375,0.11638379926575138
-3,0.030068123091378907,0.043524732483632006,2.0,-0.05524035257653982,0.11537659875929764
-2,0.18134836739487903,0.07019994308527297,2.0,0.04375647894774401,0.318940255842014
-1,0.19379844961240308,0.06584457771074348,2.0,0.06474307729934586,0.3228538219254603
0,0.05936850066175079,0.046180882490919305,3.0,-0.031146029020451042,0.14988303034395262
1,0.0563433541312157,0.046204936632579734,3.0,-0.03421832166864057,0.14690502993107196
2,0.05010398941198727,0.04826478380567923,3.0,-0.044494986847144015,0.14470296567111857
3,0.04859141614671974,0.04825317921830608,3.0,-0.045984815121160184,0.14316764741459967
4,0.04254112308564946,0.04793990334770619,3.0,-0.051421087475854665,0.13650333364715359
5,0.041028549820381933,0.04758533171666066,3.0,-0.05223870034427296,0.13429579998503682
6,0.04244186046511629,0.048774244830277244,2.0,-0.05315565940222711,0.1380393803324597
7,0.06744186046511624,0.056926931384658104,2.0,-0.04413492504881364,0.17901864597904613
8,0.08624031007751941,0.15975548963751324,1.0,-0.22688044961200654,0.3993610697670454
