dropped,beta_interaction,delta
ARG,-1.7463,22.55085525442372
ROU,19.3045,1.5000552544237173
UKR,20.1963,0.6082552544237174
PAK,20.2904,0.5141552544237165
KAZ,20.3539,0.4506552544237188
URY,20.4839,0.3206552544237198
DZA,20.6563,0.14825525442371656
HUN,20.6826,0.12195525442371746
SLE,20.6876,0.11695525442371846
BRA,20.6993,0.1052552544237173
IND,20.7043,0.1002552544237183
COG,20.7116,0.09295525442371755
AUS,20.7196,0.08495525442371843
RWA,20.7238,0.08075525442371756
EST,20.7318,0.07275525442371844
SWE,20.7451,0.05945525442371746
TZA,20.7569,0.04765525442371654
GEO,20.7603,0.04425525442371736
NOR,20.765,0.039555254423717656
IRL,20.7663,0.03825525442371713
UGA,20.7696,0.03495525442371772
ESP,20.7709,0.033655254423717196
CZE,20.7759,0.02865525442371819
CYP,20.7759,0.02865525442371819
ZMB,20.7773,0.0272552544237179
TUR,20.7779,0.0266552544237193
TUN,20.7781,0.026455254423719765
NLD,20.7798,0.02475525442371662
GMB,20.7828,0.021755254423716508
MDG,20.7829,0.02165525442371674
BEL,20.7833,0.021255254423717673
MKD,20.7856,0.01895525442371948
NPL,20.7915,0.01305525442371902
MLT,20.7946,0.00995525442371914
GHA,20.796,0.00855525442371885
JPN,20.7971,0.007455254423717861
SUR,20.798,0.006555254423719958
MUS,20.7987,0.005855254423718037
AUT,20.7988,0.00575525442371827
SVK,20.7989,0.005655254423718503
BIH,20.7993,0.005255254423719435
LVA,20.7997,0.004855254423716815
POL,20.8002,0.00435525442371798
LTU,20.8002,0.00435525442371798
FRA,20.8012,0.003355254423716758
ITA,20.8015,0.0030552544237174573
JOR,20.8021,0.0024552544237188556
CHL,20.8035,0.0010552544237185657
HRV,20.8039,0.0006552544237194979
FIN,20.8042,0.0003552544237166444
ZAF,20.8043,0.00025525442371687745
PER,20.8045,5.525442371734357e-05
GTM,20.8046,4.474557628242337e-05
GIN,20.8046,4.474557628242337e-05
GNB,20.8046,4.474557628242337e-05
GNQ,20.8046,4.474557628242337e-05
HKG,20.8046,4.474557628242337e-05
GUY,20.8046,4.474557628242337e-05
BHS,20.8046,4.474557628242337e-05
EGY,20.8046,4.474557628242337e-05
DJI,20.8046,4.474557628242337e-05
FJI,20.8046,4.474557628242337e-05
GAB,20.8046,4.474557628242337e-05
ETH,20.8046,4.474557628242337e-05
PNG,20.8046,4.474557628242337e-05
OMN,20.8046,4.474557628242337e-05
NGA,20.8046,4.474557628242337e-05
PHL,20.8046,4.474557628242337e-05
PSE,20.8046,4.474557628242337e-05
MMR,20.8046,4.474557628242337e-05
MRT,20.8046,4.474557628242337e-05
MEX,20.8046,4.474557628242337e-05
KWT,20.8046,4.474557628242337e-05
LAO,20.8046,4.474557628242337e-05
NER,20.8046,4.474557628242337e-05
NIC,20.8046,4.474557628242337e-05
MLI,20.8046,4.474557628242337e-05
KEN,20.8046,4.474557628242337e-05
HND,20.8046,4.474557628242337e-05
HTI,20.8046,4.474557628242337e-05
CPV,20.8046,4.474557628242337e-05
CUB,20.8046,4.474557628242337e-05
DOM,20.8046,4.474557628242337e-05
ERI,20.8046,4.474557628242337e-05
LBR,20.8046,4.474557628242337e-05
LKA,20.8046,4.474557628242337e-05
LBY,20.8046,4.474557628242337e-05
LBN,20.8046,4.474557628242337e-05
LSO,20.8046,4.474557628242337e-05
MAC,20.8046,4.474557628242337e-05
IRQ,20.8046,4.474557628242337e-05
IRN,20.8046,4.474557628242337e-05
JAM,20.8046,4.474557628242337e-05
VEN,20.8046,4.474557628242337e-05
VUT,20.8046,4.474557628242337e-05
YEM,20.8046,4.474557628242337e-05
RUS,20.8046,4.474557628242337e-05
QAT,20.8046,4.474557628242337e-05
SAU,20.8046,4.474557628242337e-05
SGP,20.8046,4.474557628242337e-05
TCD,20.8046,4.474557628242337e-05
TGO,20.8046,4.474557628242337e-05
TTO,20.8046,4.474557628242337e-05
TWN,20.8046,4.474557628242337e-05
SYR,20.8046,4.474557628242337e-05
SYC,20.8046,4.474557628242337e-05
SWZ,20.8046,4.474557628242337e-05
SOM,20.8046,4.474557628242337e-05
SSD,20.8046,4.474557628242337e-05
SRB,20.8046,4.474557628242337e-05
TJK,20.8046,4.474557628242337e-05
TKM,20.8046,4.474557628242337e-05
SEN,20.8046,4.474557628242337e-05
SDN,20.8046,4.474557628242337e-05
CMR,20.8046,4.474557628242337e-05
CHE,20.8046,4.474557628242337e-05
COD,20.8046,4.474557628242337e-05
CIV,20.8046,4.474557628242337e-05
CHI,20.8046,4.474557628242337e-05
ARE,20.8046,4.474557628242337e-05
BHR,20.8046,4.474557628242337e-05
CAN,20.8046,4.474557628242337e-05
BOL,20.8046,4.474557628242337e-05
BTN,20.8046,4.474557628242337e-05
BLR,20.8046,4.474557628242337e-05
BEN,20.8046,4.474557628242337e-05
BDI,20.8046,4.474557628242337e-05
AFG,20.8046,4.474557628242337e-05
XKX,20.8046,4.474557628242337e-05
VNM,20.8046,4.474557628242337e-05
PRT,20.8047,0.00014474557628219031
BLZ,20.8047,0.00014474557628219031
GRC,20.8047,0.00014474557628219031
KHM,20.8048,0.00024474557628195726
MWI,20.8049,0.0003447455762817242
GBR,20.805,0.00044474557628149114
MNE,20.8068,0.002244745576280849
UZB,20.8081,0.0035447455762813718
MOZ,20.8081,0.0035447455762813718
DEU,20.8091,0.004544745576282594
COL,20.8113,0.006744745576281019
NZL,20.8128,0.008244745576281076
MAR,20.8143,0.009744745576281133
LUX,20.8149,0.010344745576283287
SVN,20.815,0.010444745576283054
BGD,20.8174,0.012844745576281014
PRY,20.8258,0.021244745576282753
BWA,20.8276,0.02304474557628211
ALB,20.8321,0.02754474557628228
CRI,20.8418,0.03724474557628099
BRN,20.8463,0.04174474557628116
AGO,20.8472,0.04264474557628262
TON,20.8563,0.051744745576282725
KOR,20.8565,0.05194474557628226
BGR,20.8712,0.06664474557628353
ISL,20.8755,0.07094474557628061
SLB,20.8767,0.07214474557628137
MNG,20.8862,0.08164474557628054
NAM,20.9006,0.09604474557628251
ARM,20.9202,0.11564474557628301
BFA,20.959,0.1544447455762814
THA,21.0065,0.20194474557628084
IDN,21.0511,0.24654474557628347
DNK,21.0543,0.24974474557628312
MYS,21.2026,0.3980447455762821
MDA,21.3223,0.5177447455762803
ISR,21.6016,0.797044745576283
KGZ,21.9341,1.1295447455762826
AZE,24.7967,3.992144745576283
MDV,30.4591,9.654544745576281
